initial_peak_positions,final_peak_positions,initial_peak_intensities,final_peak_intensities,initial_peak_fwhm,initial_left_area,initial_right_area,composition_number,iteration
519.230517,519.2273264,4500.884834,3638.208218,25.2106358,57141.52313,59196.2641,1,0
519.934664,519.8846564,3098.09848,2476.29353,24.6355811,36320.79144,41815.24966,2,0
519.8038732,519.8453705,4857.520055,3839.726286,24.8390939,58132.21515,65478.81125,3,0
519.1708828,519.1881969,4700.58679,3753.668905,24.87774393,58991.14236,60647.38665,4,0
518.7454487,518.9231943,3489.322061,2991.509363,30.04902755,50014.22839,57362.15246,5,0
519.0060748,519.1871387,2524.454454,2491.668313,25.6552929,32755.83161,34653.44529,6,0
514.4332503,514.8316096,19342.06399,15206.09244,25.51017231,245743.6011,259751.4222,7,0
513.13664,513.5206015,17059.26219,13139.84717,30.55873527,266977.8507,268679.0556,8,0
513.0948966,513.460457,20470.48954,15763.89068,25.72935747,270348.8386,270706.9909,9,0
511.6590708,512.1737716,18136.04777,13788.25703,26.50119048,236809.2257,256706.9221,10,0
513.9171676,513.9168232,18555.94792,14870.3517,25.91826302,230876.6558,263075.2141,11,0
515.1797731,515.463377,19933.75119,17345.06402,25.8272736,260625.0967,267758.3665,12,0
509.1655869,512.2362971,25215.53719,19880.56974,36.26551027,471933.305,443288.2402,13,0
499.5321388,502.6683337,17167.63612,11440.65655,32.49020739,294529.2197,282500.1627,14,0
499.2062884,500.8271447,20129.70216,13250.68298,31.46948786,340095.9672,315518.3311,15,0
498.5779254,499.7852541,14590.78355,9930.403638,38.63491335,281695.9376,293419.9635,16,0
494.6884484,496.7502304,11294.54874,7413.058025,40.13116732,231898.4926,233902.9945,17,0
497.1568111,497.6245749,14192.32955,10069.03028,33.09736464,251220.5076,236167.891,18,0
514.1522256,515.0787567,49843.26077,30277.5546,27.07885992,696868.618,693321.3259,19,0
506.8705469,508.4447343,5688.385628,7296.45363,42.46977584,103705.0798,111659.7883,20,0
481.9531504,498.0324988,4822.007144,2163.741553,47.24409255,114197.9291,121625.4693,21,0
471.7802423,477.7036581,2937.965871,2141.015537,44.97563455,62964.55755,73404.44461,22,0
490.2261241,477.8455405,1276.622702,1277.567074,60.91146711,29986.53538,39278.68369,23,0
474.9476033,476.2792637,2159.529439,1441.958896,44.70067171,50053.85076,49985.88249,24,0
512.1401632,514.4582535,20710.94715,22225.80103,29.39658964,343290.4294,277778.3495,25,0
515.5852506,515.2247181,6853.495203,16844.4149,57.06596889,176901.0048,172898.1794,26,0
514.3960511,515.1149936,8981.390526,13977.4316,34.26329132,133677.3684,169846.1317,27,0
520.6657466,515.863614,11760.64578,13308.53946,29.18105983,176026.1361,117214.2326,28,0
502.5534363,503.021917,8372.462915,7486.057919,30.37952493,136528.7938,125137.2662,29,0
505.2518843,505.1978153,555.9108113,436.3446978,30.04656087,9036.566116,8037.95987,30,0
