Intensity initial,Intensity final,Cs Con,NEA Con,CE
2879.892582051644,1613.302094458552,0.2,0.33,0.06
3125.2463112993128,12954.693678021593,0.2,0.33,0.0
1928.9488840438112,7337.907022838935,0.2,0.33,0.04
1284.0435457613144,4443.461125100516,0.2,0.33,0.07
2621.260941999264,7081.42656971223,0.2,0.33,0.03
1018.5539994286715,3430.31051659912,0.2,0.33,0.08
2733.668419023747,7183.175062092539,0.2,0.33,0.01
1991.8423315646628,9184.198209109203,0.2,0.33,0.02
2352.7098743512715,7569.553434111138,0.2,0.32,0.05
1449.6533956519688,4710.176751672936,0.2,0.32,0.06
605.6415543261072,2878.2551116928894,0.2,0.32,0.04
24.636244200463366,82.94290964316154,0.0,0.0,0.0
1080.3125020491088,6025.5766134464,0.0,0.0,0.0
1285.7460638111954,5195.649823563879,0.2,0.32,0.0
3070.279022687092,8509.535258442615,0.2,0.32,0.07
1505.7489539064702,5054.525892432736,0.2,0.32,0.03
3707.396113367162,10030.62881669614,0.0,0.0,0.0
1436.998687507071,5951.216966744281,0.2,0.32,0.02
1580.6507685734664,5613.20616281007,0.2,0.32,0.01
3132.3370350396867,8630.62284579464,0.2,0.31,0.03
3542.3350561883017,8761.853741599602,0.0,0.0,0.0
3084.774284452805,8265.159545799155,0.2,0.31,0.02
4048.3528986774672,10287.864734824549,0.2,0.31,0.01
