Read,Composition,Well,R_squared,Total_Quality_Peaks,Peak_1_Wavelength,Peak_1_Intensity,Peak_1_FWHM,Peak_1_Area,Peak_1_LeftArea,Peak_1_RightArea,Peak_1_Asymmetry,Peak_2_Wavelength,Peak_2_Intensity,Peak_2_FWHM,Peak_2_Area,Peak_2_LeftArea,Peak_2_RightArea,Peak_2_Asymmetry,Peak_3_Wavelength,Peak_3_Intensity,Peak_3_FWHM,Peak_3_Area,Peak_3_LeftArea,Peak_3_RightArea,Peak_3_Asymmetry,Peak_4_Wavelength,Peak_4_Intensity,Peak_4_FWHM,Peak_4_Area,Peak_4_LeftArea,Peak_4_RightArea,Peak_4_Asymmetry,Peak_5_Wavelength,Peak_5_Intensity,Peak_5_FWHM,Peak_5_Area,Peak_5_LeftArea,Peak_5_RightArea,Peak_5_Asymmetry
1,A1,A1,0.9983296056929591,1,488.4866232044364,4865.330770957187,38.74864390825374,200678.6124169137,96686.21655177516,98753.41059745575,0.010577148942789131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A1,A1,0.9977305606262911,1,492.1464503394198,9443.059191302878,48.21655529951476,484664.3794360207,237050.3309846626,235946.4820808124,-0.00233373433680496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A2,A2,0.997354053723313,1,494.03361914518894,7711.832985907078,33.48435063171854,274872.7622073821,141176.67793510592,126676.16163787487,-0.05413613057210153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A2,A2,0.9969571101595778,1,494.62325663721674,13832.727897077139,35.977176954289774,529745.3173340952,266208.7628055869,249498.2157870891,-0.032403181869090816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A3,A3,0.9981587432843435,1,494.14443469157544,8891.617691783697,37.1297214487516,351426.64189996436,179387.9589419728,163506.876014399,-0.04631473358178303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A3,A3,0.9972879745514931,1,493.3884013093071,14776.873704747997,33.7888103594077,531480.9137788538,267378.8481675091,250725.2482384883,-0.03214334733993428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A4,A4,0.9995929071648805,1,500.1880466808444,13740.777763962344,39.75540177471642,581486.5484864805,283933.95656884654,274936.5593332951,-0.016099251936788322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A4,A4,0.9992290541688991,1,498.5105106406658,19034.319474897737,37.95960921832182,769115.0281085552,365818.3350143355,373813.29594033275,0.01080938211860661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A5,A5,0.9957034806724575,1,503.4997918493692,10448.546084119154,30.54958445741165,339776.5325003698,170933.57929226605,157167.0458030287,-0.04195826656910188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A5,A5,0.996850202916768,1,504.67742495469776,17558.323304212186,28.847791501443957,539172.6103339515,260948.34037276707,259295.3536454349,-0.0031773315973616374,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A6,A6,0.9995015927074775,1,499.8075695224111,11645.781124333904,36.89901692004051,457420.5053416009,211109.39123119792,225576.6483859443,0.03312965344033057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A6,A6,0.9996029770438692,1,500.94569898231003,25796.484095312277,38.81382761041944,1065808.5529983009,488775.93269081926,528741.5368636716,0.039277560699130666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
