Well,PbBr,Cs,NEA,CE,Peak Wavelength (nm),Intensity
A1,0.20,0.17,0.33,0.00,501.00,2666.10
A2,0.20,0.16,0.35,0.00,499.10,7040.50
A3,0.20,0.16,0.39,0.01,496.50,0.00
A4,0.20,0.18,0.36,0.00,492.00,345.70
A5,0.20,0.16,0.36,0.00,497.00,7842.50
A6,0.20,0.15,0.39,0.00,491.00,7248.60
A7,0.20,0.17,0.34,0.00,499.10,2707.30
A8,0.20,0.17,0.38,0.01,497.80,0.40
A9,0.20,0.18,0.37,0.01,497.60,35.20
A10,0.20,0.16,0.40,0.01,494.20,0.00
A11,0.20,0.16,0.37,0.00,494.80,8873.10
A12,0.20,0.17,0.35,0.00,497.10,2888.20
B1,0.20,0.17,0.36,0.00,495.10,3215.40
B2,0.20,0.15,0.40,0.00,488.60,7390.40
B3,0.20,0.16,0.38,0.00,492.50,9890.60
B4,0.20,0.17,0.39,0.01,495.50,0.30
B5,0.20,0.18,0.38,0.01,495.40,30.00
B6,0.20,0.17,0.37,0.00,492.90,3637.00
B7,0.20,0.16,0.39,0.00,490.20,10610.40
B8,0.20,0.17,0.38,0.00,490.70,4053.50
B9,0.20,0.18,0.39,0.01,493.20,24.20
B10,0.20,0.17,0.40,0.01,493.20,0.20
B11,0.20,0.16,0.40,0.00,487.80,10795.40
B12,0.20,0.18,0.37,0.00,489.80,488.40
C1,0.20,0.17,0.39,0.00,488.40,4348.20
C2,0.20,0.18,0.40,0.01,490.90,18.10
C3,0.20,0.17,0.40,0.00,486.00,4423.90
C4,0.20,0.18,0.38,0.00,487.60,620.30
C5,0.20,0.18,0.39,0.00,485.30,711.50
C6,0.20,0.18,0.40,0.00,483.00,745.70
